N,mu,mutation,run,found,generation_found,best_fit,best_individual
4,20,0.01,0,True,1,6,"[1, 3, 0, 2]"
4,20,0.01,1,True,1,6,"[1, 3, 0, 2]"
4,20,0.01,2,True,1,6,"[2, 0, 3, 1]"
4,20,0.01,3,True,1,6,"[2, 0, 3, 1]"
4,20,0.01,4,True,1,6,"[2, 0, 3, 1]"
4,20,0.05,0,True,1,6,"[2, 0, 3, 1]"
4,20,0.05,1,True,1,6,"[1, 3, 0, 2]"
4,20,0.05,2,True,1,6,"[2, 0, 3, 1]"
4,20,0.05,3,True,1,6,"[2, 0, 3, 1]"
4,20,0.05,4,True,2,6,"[1, 3, 0, 2]"
4,20,0.1,0,True,1,6,"[2, 0, 3, 1]"
4,20,0.1,1,True,1,6,"[2, 0, 3, 1]"
4,20,0.1,2,True,1,6,"[1, 3, 0, 2]"
4,20,0.1,3,True,1,6,"[1, 3, 0, 2]"
4,20,0.1,4,True,1,6,"[2, 0, 3, 1]"
4,20,0.15,0,True,1,6,"[1, 3, 0, 2]"
4,20,0.15,1,True,1,6,"[1, 3, 0, 2]"
4,20,0.15,2,True,1,6,"[2, 0, 3, 1]"
4,20,0.15,3,True,2,6,"[2, 0, 3, 1]"
4,20,0.15,4,True,1,6,"[2, 0, 3, 1]"
4,20,0.2,0,True,1,6,"[1, 3, 0, 2]"
4,20,0.2,1,True,1,6,"[1, 3, 0, 2]"
4,20,0.2,2,True,2,6,"[2, 0, 3, 1]"
4,20,0.2,3,True,1,6,"[2, 0, 3, 1]"
4,20,0.2,4,True,1,6,"[1, 3, 0, 2]"
4,20,0.3,0,True,1,6,"[1, 3, 0, 2]"
4,20,0.3,1,True,1,6,"[1, 3, 0, 2]"
4,20,0.3,2,True,4,6,"[1, 3, 0, 2]"
4,20,0.3,3,True,1,6,"[1, 3, 0, 2]"
4,20,0.3,4,True,1,6,"[2, 0, 3, 1]"
4,50,0.01,0,True,1,6,"[1, 3, 0, 2]"
4,50,0.01,1,True,1,6,"[1, 3, 0, 2]"
4,50,0.01,2,True,1,6,"[1, 3, 0, 2]"
4,50,0.01,3,True,1,6,"[1, 3, 0, 2]"
4,50,0.01,4,True,1,6,"[1, 3, 0, 2]"
4,50,0.05,0,True,1,6,"[1, 3, 0, 2]"
4,50,0.05,1,True,1,6,"[1, 3, 0, 2]"
4,50,0.05,2,True,1,6,"[1, 3, 0, 2]"
4,50,0.05,3,True,1,6,"[1, 3, 0, 2]"
4,50,0.05,4,True,1,6,"[2, 0, 3, 1]"
4,50,0.1,0,True,1,6,"[1, 3, 0, 2]"
4,50,0.1,1,True,1,6,"[1, 3, 0, 2]"
4,50,0.1,2,True,1,6,"[2, 0, 3, 1]"
4,50,0.1,3,True,1,6,"[2, 0, 3, 1]"
4,50,0.1,4,True,1,6,"[2, 0, 3, 1]"
4,50,0.15,0,True,1,6,"[2, 0, 3, 1]"
4,50,0.15,1,True,1,6,"[2, 0, 3, 1]"
4,50,0.15,2,True,1,6,"[1, 3, 0, 2]"
4,50,0.15,3,True,1,6,"[1, 3, 0, 2]"
4,50,0.15,4,True,1,6,"[2, 0, 3, 1]"
4,50,0.2,0,True,1,6,"[2, 0, 3, 1]"
4,50,0.2,1,True,1,6,"[2, 0, 3, 1]"
4,50,0.2,2,True,1,6,"[2, 0, 3, 1]"
4,50,0.2,3,True,1,6,"[1, 3, 0, 2]"
4,50,0.2,4,True,1,6,"[1, 3, 0, 2]"
4,50,0.3,0,True,1,6,"[2, 0, 3, 1]"
4,50,0.3,1,True,1,6,"[2, 0, 3, 1]"
4,50,0.3,2,True,1,6,"[2, 0, 3, 1]"
4,50,0.3,3,True,1,6,"[2, 0, 3, 1]"
4,50,0.3,4,True,1,6,"[1, 3, 0, 2]"
4,100,0.01,0,True,1,6,"[1, 3, 0, 2]"
4,100,0.01,1,True,1,6,"[1, 3, 0, 2]"
4,100,0.01,2,True,1,6,"[1, 3, 0, 2]"
4,100,0.01,3,True,1,6,"[2, 0, 3, 1]"
4,100,0.01,4,True,1,6,"[1, 3, 0, 2]"
4,100,0.05,0,True,1,6,"[1, 3, 0, 2]"
4,100,0.05,1,True,1,6,"[2, 0, 3, 1]"
4,100,0.05,2,True,1,6,"[1, 3, 0, 2]"
4,100,0.05,3,True,1,6,"[2, 0, 3, 1]"
4,100,0.05,4,True,1,6,"[1, 3, 0, 2]"
4,100,0.1,0,True,1,6,"[1, 3, 0, 2]"
4,100,0.1,1,True,1,6,"[2, 0, 3, 1]"
4,100,0.1,2,True,1,6,"[1, 3, 0, 2]"
4,100,0.1,3,True,1,6,"[1, 3, 0, 2]"
4,100,0.1,4,True,1,6,"[2, 0, 3, 1]"
4,100,0.15,0,True,1,6,"[1, 3, 0, 2]"
4,100,0.15,1,True,1,6,"[2, 0, 3, 1]"
4,100,0.15,2,True,1,6,"[1, 3, 0, 2]"
4,100,0.15,3,True,1,6,"[2, 0, 3, 1]"
4,100,0.15,4,True,1,6,"[1, 3, 0, 2]"
4,100,0.2,0,True,1,6,"[2, 0, 3, 1]"
4,100,0.2,1,True,1,6,"[1, 3, 0, 2]"
4,100,0.2,2,True,1,6,"[2, 0, 3, 1]"
4,100,0.2,3,True,1,6,"[1, 3, 0, 2]"
4,100,0.2,4,True,1,6,"[2, 0, 3, 1]"
4,100,0.3,0,True,1,6,"[2, 0, 3, 1]"
4,100,0.3,1,True,1,6,"[2, 0, 3, 1]"
4,100,0.3,2,True,1,6,"[2, 0, 3, 1]"
4,100,0.3,3,True,1,6,"[2, 0, 3, 1]"
4,100,0.3,4,True,1,6,"[2, 0, 3, 1]"
6,20,0.01,0,False,-1,14,"[1, 4, 2, 0, 5, 3]"
6,20,0.01,1,False,-1,14,"[3, 5, 0, 2, 4, 1]"
6,20,0.01,2,True,1,15,"[4, 2, 0, 5, 3, 1]"
6,20,0.01,3,True,3,15,"[1, 3, 5, 0, 2, 4]"
6,20,0.01,4,True,3,15,"[1, 3, 5, 0, 2, 4]"
